Sales Person,Country,Product,Date,Amount,Boxes Shipped
Karlen McCaffrey,India,Fruit & Nut Bars,26-Jan-22,$168 ,321
Roddy Speechley,Canada,Spicy Special Slims,9-Feb-22,"$1,652 ",186
Husein Augar,USA,Eclairs,7-Jul-22,"$4,025 ",112
Dennison Crosswaite,New Zealand,White Choc,5-Jul-22,"$9,492 ",151
Dennison Crosswaite,New Zealand,Manuka Honey Choco,15-Jun-22,"$5,061 ",301
Van Tuxwell,New Zealand,85% Dark Bars,24-May-22,"$1,722 ",121
Rafaelita Blaksland,UK,99% Dark & Pure,29-Jun-22,"$12,446 ",150
Wilone O'Kielt,Australia,Manuka Honey Choco,11-May-22,"$4,284 ",94
Karlen McCaffrey,UK,Almond Choco,30-Jun-22,"$6,839 ",133
Andria Kimpton,Canada,After Nines,11-May-22,"$2,163 ",70
Roddy Speechley,USA,Manuka Honey Choco,22-Jul-22,"$9,583 ",315
Andria Kimpton,UK,50% Dark Bites,24-Aug-22,"$2,653 ",314
Kelci Walkden,New Zealand,After Nines,7-Jul-22,$147 ,72
Camilla Castle,Australia,85% Dark Bars,19-May-22,"$3,654 ",14
Karlen McCaffrey,India,Manuka Honey Choco,4-Jul-22,"$2,443 ",581
Kelci Walkden,USA,After Nines,2-Jun-22,$938 ,16
Karlen McCaffrey,USA,Raspberry Choco,15-Apr-22,"$14,749 ",354
Mallorie Waber,Canada,Choco Coated Almonds,11-Jul-22,"$4,781 ",241
Andria Kimpton,India,Spicy Special Slims,23-Feb-22,"$6,307 ",142
Madelene Upcott,Canada,Almond Choco,22-Aug-22,"$7,602 ",102
Kaine Padly,USA,Peanut Butter Cubes,16-Feb-22,"$6,790 ",188
Van Tuxwell,USA,50% Dark Bites,13-Jan-22,"$9,737 ",160
Curtice Advani,Australia,Milk Bars,14-Feb-22,"$6,979 ",18
Roddy Speechley,India,Eclairs,10-Jun-22,"$4,382 ",303
Curtice Advani,India,Fruit & Nut Bars,7-Jul-22,"$5,243 ",176
Curtice Advani,Canada,Almond Choco,24-Mar-22,"$4,865 ",70
Brien Boise,Australia,Fruit & Nut Bars,6-Jun-22,"$8,575 ",23
Dotty Strutley,Australia,Drinking Coco,19-Jul-22,$91 ,135
Beverie Moffet,USA,Raspberry Choco,19-Apr-22,"$14,798 ",83
Marney O'Breen,India,85% Dark Bars,19-Jul-22,"$2,205 ",179
Jehu Rudeforth,Canada,Drinking Coco,15-Jul-22,$441 ,24
Ches Bonnell,New Zealand,Spicy Special Slims,14-Feb-22,"$3,556 ",18
Brien Boise,Canada,99% Dark & Pure,18-May-22,"$16,793 ",416
Barr Faughny,Australia,Fruit & Nut Bars,30-Jun-22,"$15,421 ",55
Andria Kimpton,Australia,50% Dark Bites,2-Jun-22,"$4,438 ",227
Andria Kimpton,Australia,Drinking Coco,28-Jun-22,"$1,603 ",48
Marney O'Breen,Australia,Organic Choco Syrup,16-May-22,$273 ,174
Kelci Walkden,Canada,Baker's Choco Chips,26-May-22,"$3,073 ",302
Karlen McCaffrey,India,Almond Choco,6-Jul-22,"$6,090 ",149
Oby Sorrel,India,99% Dark & Pure,27-May-22,"$10,255 ",11
Wilone O'Kielt,Australia,Caramel Stuffed Bars,14-Apr-22,"$2,030 ",11
Van Tuxwell,Australia,Organic Choco Syrup,10-Aug-22,"$19,453 ",14
Camilla Castle,India,50% Dark Bites,4-Jul-22,"$9,275 ",411
Oby Sorrel,India,Organic Choco Syrup,8-Jul-22,"$6,181 ",56
Jan Morforth,USA,Peanut Butter Cubes,22-Jul-22,"$9,037 ",102
Gigi Bohling,USA,Choco Coated Almonds,2-Mar-22,"$12,313 ",103
Gigi Bohling,UK,Almond Choco,10-Jan-22,"$5,642 ",9
Jehu Rudeforth,New Zealand,White Choc,11-Mar-22,"$2,800 ",241
Andria Kimpton,New Zealand,Peanut Butter Cubes,20-Jun-22,$959 ,265
Van Tuxwell,UK,Organic Choco Syrup,26-Aug-22,"$2,002 ",214
Roddy Speechley,Canada,Milk Bars,13-Jul-22,$609 ,32
Camilla Castle,USA,Spicy Special Slims,11-Feb-22,"$1,274 ",244
Marney O'Breen,USA,Orange Choco,27-Jan-22,"$7,595 ",181
Van Tuxwell,UK,99% Dark & Pure,31-Jan-22,"$4,725 ",137
Camilla Castle,USA,White Choc,18-Aug-22,"$9,681 ",24
Andria Kimpton,USA,Raspberry Choco,30-Jun-22,"$14,504 ",21
Dotty Strutley,Australia,Fruit & Nut Bars,23-Aug-22,$280 ,311
Brien Boise,New Zealand,Mint Chip Choco,1-Aug-22,$63 ,181
Roddy Speechley,New Zealand,After Nines,25-May-22,"$8,001 ",10
Roddy Speechley,Canada,Organic Choco Syrup,10-Jan-22,"$4,032 ",82
Dennison Crosswaite,Australia,70% Dark Bites,7-Feb-22,"$5,859 ",108
Karlen McCaffrey,USA,Orange Choco,12-May-22,"$11,095 ",401
Madelene Upcott,Australia,Spicy Special Slims,7-Mar-22,"$7,182 ",408
Dennison Crosswaite,Australia,85% Dark Bars,5-Apr-22,"$6,881 ",420
Andria Kimpton,Canada,Caramel Stuffed Bars,3-Jan-22,"$7,154 ",348
Dennison Crosswaite,UK,Eclairs,24-Mar-22,"$6,188 ",270
Madelene Upcott,India,Raspberry Choco,7-Jul-22,"$4,221 ",9
Van Tuxwell,USA,After Nines,26-Jul-22,$630 ,264
Wilone O'Kielt,Australia,Organic Choco Syrup,7-Jul-22,"$1,743 ",111
Karlen McCaffrey,Canada,50% Dark Bites,15-Jul-22,"$2,919 ",65
Roddy Speechley,New Zealand,Orange Choco,1-Apr-22,$49 ,97
Beverie Moffet,Australia,Eclairs,20-Jun-22,"$1,827 ",6
Kelci Walkden,UK,Fruit & Nut Bars,29-Jun-22,"$13,006 ",482
Marney O'Breen,USA,50% Dark Bites,15-Jun-22,"$1,064 ",106
Husein Augar,USA,After Nines,8-Apr-22,"$11,571 ",180
Dennison Crosswaite,Australia,Raspberry Choco,14-Mar-22,"$5,740 ",31
Andria Kimpton,USA,Fruit & Nut Bars,15-Jul-22,"$1,456 ",359
Kelci Walkden,India,Eclairs,19-Apr-22,"$5,334 ",80
Marney O'Breen,USA,99% Dark & Pure,28-Mar-22,"$4,151 ",296
Brien Boise,Canada,Spicy Special Slims,4-Mar-22,"$8,106 ",101
Karlen McCaffrey,New Zealand,70% Dark Bites,2-Aug-22,$126 ,40
Husein Augar,UK,Spicy Special Slims,25-Aug-22,"$4,697 ",42
Marney O'Breen,USA,Almond Choco,25-Feb-22,"$7,798 ",167
Kelci Walkden,India,Orange Choco,7-Jun-22,"$9,408 ",138
Jan Morforth,India,Spicy Special Slims,12-Apr-22,"$1,939 ",520
Ches Bonnell,India,Spicy Special Slims,6-Jul-22,"$10,906 ",94
Kelci Walkden,UK,Smooth Sliky Salty,19-Jan-22,"$5,929 ",175
Madelene Upcott,Australia,Fruit & Nut Bars,5-Jan-22,"$5,579 ",92
Madelene Upcott,Canada,70% Dark Bites,24-Jan-22,"$10,927 ",141
Wilone O'Kielt,Australia,Drinking Coco,6-Apr-22,$623 ,283
Gunar Cockshoot,Australia,Fruit & Nut Bars,15-Jun-22,"$6,013 ",21
Gigi Bohling,Canada,Baker's Choco Chips,28-Jan-22,"$1,505 ",47
Kelci Walkden,India,Caramel Stuffed Bars,16-Mar-22,$476 ,125
Rafaelita Blaksland,Australia,Drinking Coco,21-Feb-22,"$11,550 ",396
Kelci Walkden,USA,Manuka Honey Choco,16-Feb-22,"$17,318 ",87
Jehu Rudeforth,Canada,Spicy Special Slims,13-Jan-22,"$1,848 ",27
Kelci Walkden,Australia,Eclairs,23-Mar-22,"$7,273 ",547
Curtice Advani,Canada,Spicy Special Slims,16-Jun-22,$854 ,118
Oby Sorrel,India,Raspberry Choco,14-Apr-22,"$6,832 ",46
Kelci Walkden,UK,Eclairs,25-Jan-22,"$4,606 ",57
Jan Morforth,India,Almond Choco,11-Mar-22,"$4,466 ",22
Dotty Strutley,UK,Almond Choco,28-Jul-22,"$16,114 ",96
Marney O'Breen,New Zealand,After Nines,9-Mar-22,"$1,561 ",44
Husein Augar,Australia,Orange Choco,28-Jun-22,"$8,897 ",188
Marney O'Breen,Australia,Milk Bars,28-Jul-22,"$2,464 ",387
Kelci Walkden,Canada,99% Dark & Pure,15-Aug-22,"$4,830 ",50
Kaine Padly,Australia,Manuka Honey Choco,12-Jan-22,"$2,765 ",264
Beverie Moffet,New Zealand,White Choc,24-Mar-22,"$7,126 ",7
Van Tuxwell,UK,Milk Bars,25-Jul-22,"$4,263 ",90
Oby Sorrel,Canada,99% Dark & Pure,1-Aug-22,"$3,605 ",403
Van Tuxwell,India,Organic Choco Syrup,16-May-22,"$19,929 ",174
Roddy Speechley,India,Smooth Sliky Salty,10-Aug-22,"$5,103 ",140
Jan Morforth,India,Eclairs,5-Jan-22,"$2,541 ",27
Ches Bonnell,UK,Smooth Sliky Salty,11-Jul-22,"$5,663 ",110
Wilone O'Kielt,USA,After Nines,25-Apr-22,$392 ,30
Gigi Bohling,New Zealand,Fruit & Nut Bars,4-Apr-22,"$10,976 ",121
Barr Faughny,USA,Raspberry Choco,12-Apr-22,"$9,282 ",101
Wilone O'Kielt,New Zealand,85% Dark Bars,2-Aug-22,"$1,827 ",117
Gigi Bohling,New Zealand,Manuka Honey Choco,28-Jun-22,"$8,267 ",272
Ches Bonnell,Australia,Eclairs,5-Jul-22,"$4,116 ",128
Rafaelita Blaksland,New Zealand,Choco Coated Almonds,7-Jun-22,"$2,093 ",45
Brien Boise,New Zealand,Smooth Sliky Salty,18-Jan-22,"$1,015 ",27
Brien Boise,Australia,Baker's Choco Chips,4-Jan-22,"$12,516 ",212
Dennison Crosswaite,Australia,99% Dark & Pure,31-Jan-22,"$2,758 ",18
Kelci Walkden,India,Almond Choco,14-Mar-22,"$3,297 ",149
Camilla Castle,Australia,70% Dark Bites,29-Apr-22,"$6,048 ",477
Oby Sorrel,India,Smooth Sliky Salty,7-Feb-22,"$10,101 ",108
Kaine Padly,UK,Organic Choco Syrup,31-Mar-22,"$2,282 ",178
Marney O'Breen,India,Caramel Stuffed Bars,16-Mar-22,"$4,361 ",81
Karlen McCaffrey,UK,Eclairs,25-Jan-22,"$7,798 ",196
Van Tuxwell,India,Baker's Choco Chips,20-Jun-22,"$3,052 ",447
Gigi Bohling,UK,After Nines,29-Mar-22,"$8,029 ",175
Curtice Advani,Australia,Orange Choco,12-Jul-22,$854 ,136
Jehu Rudeforth,Canada,Smooth Sliky Salty,11-Jul-22,"$5,460 ",138
Karlen McCaffrey,Canada,Smooth Sliky Salty,19-Jan-22,"$3,017 ",184
Andria Kimpton,USA,85% Dark Bars,5-Apr-22,"$8,911 ",82
Jehu Rudeforth,Canada,Milk Bars,21-Feb-22,"$7,203 ",12
Rafaelita Blaksland,New Zealand,Caramel Stuffed Bars,20-May-22,"$13,083 ",14
Mallorie Waber,Australia,Milk Bars,29-Jul-22,"$2,779 ",104
Barr Faughny,USA,Fruit & Nut Bars,28-Jan-22,"$9,058 ",46
Marney O'Breen,UK,Caramel Stuffed Bars,19-Jul-22,"$3,549 ",112
Mallorie Waber,New Zealand,Manuka Honey Choco,13-Apr-22,"$9,436 ",11
Roddy Speechley,India,Peanut Butter Cubes,11-Feb-22,"$10,283 ",21
Roddy Speechley,New Zealand,Milk Bars,2-Mar-22,"$5,446 ",116
Ches Bonnell,Australia,White Choc,2-Mar-22,"$1,043 ",202
Van Tuxwell,USA,99% Dark & Pure,28-Jul-22,"$12,586 ",6
Kelci Walkden,India,After Nines,7-Jan-22,"$1,687 ",520
Brien Boise,UK,White Choc,12-Apr-22,"$5,299 ",167
Van Tuxwell,Canada,Almond Choco,27-Jun-22,"$3,213 ",72
Jehu Rudeforth,Australia,50% Dark Bites,14-Jan-22,"$5,194 ",418
Karlen McCaffrey,UK,Baker's Choco Chips,7-Feb-22,"$4,753 ",389
Jehu Rudeforth,Australia,Orange Choco,23-Mar-22,"$13,706 ",26
Marney O'Breen,India,Peanut Butter Cubes,10-Jan-22,"$6,489 ",146
Oby Sorrel,UK,Choco Coated Almonds,17-Mar-22,"$9,324 ",41
Gigi Bohling,USA,Spicy Special Slims,21-Jan-22,"$10,829 ",54
Barr Faughny,Australia,White Choc,4-Jul-22,"$8,113 ",370
Kaine Padly,Canada,Peanut Butter Cubes,4-Jul-22,"$3,269 ",176
Dotty Strutley,USA,Manuka Honey Choco,10-Aug-22,$273 ,210
Dennison Crosswaite,Australia,50% Dark Bites,1-Apr-22,"$7,287 ",12
Gigi Bohling,India,Raspberry Choco,22-Feb-22,"$2,583 ",159
Camilla Castle,UK,White Choc,3-Jan-22,"$9,982 ",187
Karlen McCaffrey,India,Drinking Coco,31-May-22,"$4,795 ",233
Dotty Strutley,UK,99% Dark & Pure,3-Jan-22,"$9,310 ",282
Husein Augar,New Zealand,Caramel Stuffed Bars,27-Jan-22,$497 ,475
Barr Faughny,UK,50% Dark Bites,28-Jan-22,$581 ,65
Curtice Advani,Australia,Organic Choco Syrup,28-Jun-22,"$3,472 ",311
Husein Augar,UK,Choco Coated Almonds,2-Mar-22,"$4,333 ",43
Wilone O'Kielt,Australia,After Nines,27-May-22,"$3,325 ",26
Dennison Crosswaite,USA,Almond Choco,30-Jun-22,"$11,718 ",84
Barr Faughny,Canada,Peanut Butter Cubes,7-Jun-22,"$2,100 ",78
Kaine Padly,USA,70% Dark Bites,12-May-22,"$4,018 ",100
Barr Faughny,New Zealand,Raspberry Choco,29-Jul-22,"$6,468 ",66
Dennison Crosswaite,UK,White Choc,3-Aug-22,"$7,238 ",265
Barr Faughny,India,Baker's Choco Chips,18-Aug-22,"$6,454 ",141
Van Tuxwell,New Zealand,Smooth Sliky Salty,14-Jun-22,"$3,115 ",42
Beverie Moffet,UK,White Choc,30-Jun-22,"$6,475 ",76
Camilla Castle,New Zealand,Mint Chip Choco,13-Jun-22,"$1,162 ",190
Ches Bonnell,UK,Orange Choco,27-Apr-22,"$14,238 ",54
Jan Morforth,Australia,White Choc,27-Jul-22,"$3,472 ",32
Mallorie Waber,Canada,85% Dark Bars,20-Apr-22,"$1,428 ",424
Rafaelita Blaksland,India,Spicy Special Slims,4-Jan-22,"$8,064 ",134
Ches Bonnell,Australia,Mint Chip Choco,21-Feb-22,"$9,660 ",92
Karlen McCaffrey,Australia,White Choc,5-Jan-22,"$7,357 ",48
Beverie Moffet,India,Drinking Coco,15-Jul-22,"$6,055 ",46
Brien Boise,Australia,Choco Coated Almonds,25-May-22,"$5,124 ",62
Karlen McCaffrey,Canada,Eclairs,20-Apr-22,"$3,479 ",358
Gigi Bohling,USA,99% Dark & Pure,2-Jun-22,$784 ,249
Marney O'Breen,UK,Smooth Sliky Salty,13-May-22,"$18,991 ",88
Beverie Moffet,New Zealand,Baker's Choco Chips,3-Aug-22,"$1,372 ",144
Beverie Moffet,Australia,Milk Bars,25-May-22,$735 ,390
Van Tuxwell,UK,Raspberry Choco,16-Mar-22,"$6,538 ",79
Jan Morforth,Australia,Orange Choco,4-Jul-22,"$3,199 ",122
Jehu Rudeforth,India,50% Dark Bites,5-Jul-22,"$3,472 ",135
Madelene Upcott,USA,After Nines,15-Mar-22,"$4,571 ",430
Barr Faughny,UK,Raspberry Choco,22-Aug-22,"$5,481 ",69
Ches Bonnell,Australia,70% Dark Bites,12-Jan-22,"$3,136 ",125
Marney O'Breen,UK,Baker's Choco Chips,10-Jun-22,$252 ,154
Kaine Padly,Australia,Peanut Butter Cubes,25-Mar-22,"$5,460 ",286
Rafaelita Blaksland,India,Almond Choco,27-Jul-22,"$3,395 ",99
Husein Augar,UK,Caramel Stuffed Bars,15-Apr-22,"$14,938 ",433
Roddy Speechley,India,Orange Choco,27-Jun-22,"$4,053 ",19
Jehu Rudeforth,UK,70% Dark Bites,14-Apr-22,"$5,565 ",258
Husein Augar,Australia,Manuka Honey Choco,15-Mar-22,"$7,161 ",92
Madelene Upcott,USA,Eclairs,18-Mar-22,"$8,883 ",200
Brien Boise,India,Eclairs,29-Apr-22,"$1,351 ",61
Mallorie Waber,New Zealand,White Choc,25-Feb-22,"$3,171 ",246
Husein Augar,USA,Milk Bars,2-Mar-22,$854 ,56
Van Tuxwell,Australia,Milk Bars,20-Jun-22,"$7,910 ",87
Beverie Moffet,Canada,White Choc,15-Jul-22,"$9,275 ",173
Dotty Strutley,Australia,50% Dark Bites,12-May-22,"$3,108 ",252
Mallorie Waber,New Zealand,Organic Choco Syrup,1-Jul-22,"$5,075 ",256
Husein Augar,USA,85% Dark Bars,8-Aug-22,$378 ,54
Madelene Upcott,Australia,50% Dark Bites,25-Jul-22,"$7,350 ",6
Wilone O'Kielt,UK,Drinking Coco,18-May-22,"$3,388 ",55
Camilla Castle,India,Peanut Butter Cubes,15-Jul-22,"$11,837 ",277
Curtice Advani,India,70% Dark Bites,5-Jul-22,"$2,282 ",44
Mallorie Waber,USA,Manuka Honey Choco,4-Jul-22,"$5,425 ",96
Dotty Strutley,UK,70% Dark Bites,20-Jun-22,"$1,267 ",216
Gunar Cockshoot,Australia,Almond Choco,25-Jan-22,"$3,752 ",424
Kaine Padly,New Zealand,Spicy Special Slims,1-Jul-22,"$7,728 ",37
Gigi Bohling,USA,50% Dark Bites,13-Apr-22,"$2,296 ",59
Beverie Moffet,UK,Smooth Sliky Salty,4-May-22,"$4,403 ",76
Beverie Moffet,Australia,Baker's Choco Chips,4-Aug-22,"$3,192 ",109
Beverie Moffet,India,70% Dark Bites,1-Jun-22,$448 ,146
Jehu Rudeforth,UK,Choco Coated Almonds,22-Apr-22,"$4,270 ",185
Kaine Padly,USA,50% Dark Bites,3-Aug-22,$70 ,27
Ches Bonnell,USA,Orange Choco,10-Jun-22,"$1,743 ",69
Gunar Cockshoot,UK,Manuka Honey Choco,27-Jun-22,"$6,762 ",46
Marney O'Breen,Australia,Smooth Sliky Salty,3-Jan-22,"$3,745 ",170
Marney O'Breen,India,After Nines,11-Jul-22,"$2,639 ",179
Ches Bonnell,New Zealand,Milk Bars,17-Aug-22,"$4,389 ",126
Rafaelita Blaksland,USA,Fruit & Nut Bars,18-Jan-22,"$2,604 ",65
Ches Bonnell,India,Organic Choco Syrup,8-Mar-22,"$16,569 ",99
Mallorie Waber,Australia,Orange Choco,7-Mar-22,"$14,658 ",275
Husein Augar,India,70% Dark Bites,9-May-22,"$6,454 ",157
Barr Faughny,New Zealand,85% Dark Bars,23-May-22,"$2,100 ",157
Madelene Upcott,UK,Caramel Stuffed Bars,15-Apr-22,$161 ,145
Gigi Bohling,Australia,Drinking Coco,27-Jul-22,"$2,807 ",139
Marney O'Breen,Canada,Choco Coated Almonds,22-Aug-22,"$2,639 ",406
Ches Bonnell,USA,70% Dark Bites,11-May-22,"$4,571 ",122
Madelene Upcott,India,Organic Choco Syrup,26-Jan-22,"$4,781 ",38
Barr Faughny,USA,50% Dark Bites,14-Apr-22,"$13,034 ",117
Dennison Crosswaite,New Zealand,Mint Chip Choco,5-Apr-22,"$6,454 ",417
Marney O'Breen,New Zealand,Smooth Sliky Salty,14-Jun-22,"$8,484 ",57
Brien Boise,Canada,Almond Choco,13-Apr-22,"$4,781 ",125
Beverie Moffet,Australia,White Choc,27-Jun-22,"$2,240 ",166
Dotty Strutley,Australia,Eclairs,26-Jan-22,"$6,979 ",3
Barr Faughny,UK,White Choc,5-Jul-22,"$1,652 ",72
Beverie Moffet,Canada,Baker's Choco Chips,11-Jan-22,"$13,447 ",95
Kelci Walkden,USA,White Choc,7-Mar-22,"$9,422 ",22
Kaine Padly,Canada,50% Dark Bites,4-Mar-22,"$8,687 ",100
Karlen McCaffrey,Canada,Organic Choco Syrup,15-Jul-22,"$2,415 ",312
Kaine Padly,UK,Peanut Butter Cubes,11-May-22,"$6,272 ",86
Karlen McCaffrey,USA,Milk Bars,27-Jan-22,"$4,389 ",7
Karlen McCaffrey,India,Orange Choco,27-Jun-22,"$3,122 ",149
Ches Bonnell,India,Smooth Sliky Salty,3-Aug-22,"$8,043 ",18
Wilone O'Kielt,New Zealand,Mint Chip Choco,19-Aug-22,"$11,662 ",242
Wilone O'Kielt,Australia,Fruit & Nut Bars,15-Jun-22,$392 ,102
Dennison Crosswaite,UK,Peanut Butter Cubes,7-Feb-22,"$8,925 ",158
Karlen McCaffrey,Australia,Almond Choco,8-Jul-22,"$7,294 ",128
Dennison Crosswaite,India,Milk Bars,21-Apr-22,"$1,526 ",96
Ches Bonnell,UK,Mint Chip Choco,8-Apr-22,"$2,688 ",209
Husein Augar,Australia,50% Dark Bites,19-Aug-22,"$14,889 ",52
Jan Morforth,India,Fruit & Nut Bars,4-May-22,"$2,912 ",55
Mallorie Waber,USA,85% Dark Bars,11-May-22,"$2,632 ",108
Mallorie Waber,USA,Eclairs,22-Mar-22,"$6,328 ",51
Dennison Crosswaite,Canada,Spicy Special Slims,10-Aug-22,"$2,527 ",216
Dennison Crosswaite,USA,Fruit & Nut Bars,4-May-22,"$1,414 ",318
Kelci Walkden,USA,99% Dark & Pure,18-Aug-22,"$7,714 ",238
Dotty Strutley,Canada,Raspberry Choco,3-Aug-22,"$4,347 ",238
Marney O'Breen,New Zealand,Milk Bars,14-Jan-22,"$7,490 ",315
Madelene Upcott,Australia,Choco Coated Almonds,8-Apr-22,"$2,058 ",72
Kelci Walkden,UK,Orange Choco,1-Aug-22,"$3,640 ",3
Dennison Crosswaite,Canada,Eclairs,15-Mar-22,$455 ,45
Karlen McCaffrey,India,Mint Chip Choco,15-Jul-22,"$10,990 ",184
Barr Faughny,New Zealand,Almond Choco,13-Jan-22,"$5,558 ",127
Mallorie Waber,Australia,85% Dark Bars,26-Aug-22,"$2,541 ",53
Ches Bonnell,Canada,Eclairs,10-Jan-22,"$1,876 ",172
Gigi Bohling,Australia,White Choc,11-May-22,"$5,523 ",87
Beverie Moffet,New Zealand,85% Dark Bars,30-Aug-22,"$11,200 ",22
Kaine Padly,USA,Caramel Stuffed Bars,21-Jul-22,"$5,593 ",122
Mallorie Waber,Australia,Almond Choco,1-Aug-22,"$7,882 ",125
Brien Boise,Canada,85% Dark Bars,17-Feb-22,"$10,241 ",259
Brien Boise,Australia,Drinking Coco,27-Jul-22,"$6,832 ",156
Dotty Strutley,USA,Orange Choco,23-Feb-22,"$1,379 ",107
Rafaelita Blaksland,Australia,50% Dark Bites,22-Mar-22,"$3,010 ",40
Dennison Crosswaite,India,99% Dark & Pure,23-Jun-22,"$6,888 ",311
Curtice Advani,UK,White Choc,1-Feb-22,"$1,540 ",73
Kelci Walkden,Australia,After Nines,2-Mar-22,"$6,916 ",288
Gigi Bohling,UK,Fruit & Nut Bars,6-Apr-22,"$1,232 ",86
Gunar Cockshoot,Australia,Raspberry Choco,17-Mar-22,$602 ,72
Curtice Advani,UK,Fruit & Nut Bars,24-Jun-22,"$10,927 ",136
Barr Faughny,Canada,50% Dark Bites,19-Jul-22,"$10,185 ",303
Curtice Advani,USA,Spicy Special Slims,11-Jul-22,"$1,603 ",264
Brien Boise,India,Almond Choco,13-Jan-22,"$2,170 ",218
Oby Sorrel,New Zealand,Smooth Sliky Salty,7-Jul-22,"$8,673 ",60
Jan Morforth,India,85% Dark Bars,25-May-22,"$4,760 ",418
Marney O'Breen,India,Fruit & Nut Bars,13-Apr-22,"$4,753 ",151
Andria Kimpton,New Zealand,50% Dark Bites,2-Mar-22,"$3,374 ",202
Gunar Cockshoot,Canada,Raspberry Choco,23-Jun-22,"$2,058 ",126
Kelci Walkden,USA,Drinking Coco,26-Jul-22,"$6,454 ",160
Van Tuxwell,Canada,White Choc,22-Mar-22,$420 ,3
Rafaelita Blaksland,USA,Baker's Choco Chips,9-Jun-22,"$2,863 ",58
Van Tuxwell,Australia,Caramel Stuffed Bars,17-May-22,"$5,936 ",59
Ches Bonnell,New Zealand,Peanut Butter Cubes,4-Mar-22,$889 ,273
Kelci Walkden,Canada,Milk Bars,7-Jul-22,"$16,016 ",28
Dennison Crosswaite,Canada,Choco Coated Almonds,13-Jan-22,"$10,479 ",118
Curtice Advani,Australia,Almond Choco,13-Jul-22,"$2,912 ",75
Madelene Upcott,Australia,85% Dark Bars,16-Jun-22,"$1,575 ",329
Gigi Bohling,UK,50% Dark Bites,18-Jul-22,"$8,197 ",69
Ches Bonnell,UK,Manuka Honey Choco,30-May-22,"$4,221 ",395
Gigi Bohling,UK,70% Dark Bites,21-Jun-22,$840 ,81
Jehu Rudeforth,Australia,Peanut Butter Cubes,24-Jun-22,"$5,691 ",38
Marney O'Breen,India,Eclairs,13-Jan-22,"$3,472 ",96
Curtice Advani,Canada,Fruit & Nut Bars,4-Apr-22,"$4,193 ",195
Kaine Padly,UK,Smooth Sliky Salty,8-Jun-22,"$9,016 ",554
Karlen McCaffrey,Canada,Spicy Special Slims,2-Aug-22,"$6,328 ",47
Kelci Walkden,USA,Organic Choco Syrup,21-Jul-22,"$9,870 ",152
Curtice Advani,India,Spicy Special Slims,20-Jun-22,$161 ,134
Roddy Speechley,India,After Nines,22-Jun-22,"$2,576 ",112
Camilla Castle,Australia,Caramel Stuffed Bars,2-May-22,"$3,178 ",16
Curtice Advani,Australia,99% Dark & Pure,7-Jan-22,"$4,676 ",84
Mallorie Waber,UK,50% Dark Bites,21-Feb-22,"$5,502 ",99
Ches Bonnell,Canada,Baker's Choco Chips,21-Mar-22,"$7,462 ",371
Van Tuxwell,UK,Drinking Coco,4-Apr-22,"$5,803 ",136
Gunar Cockshoot,Canada,Fruit & Nut Bars,24-Mar-22,"$13,888 ",203
Gunar Cockshoot,New Zealand,Spicy Special Slims,28-Jun-22,"$6,867 ",183
Gunar Cockshoot,Australia,Drinking Coco,14-Jan-22,"$2,317 ",195
Karlen McCaffrey,New Zealand,Fruit & Nut Bars,7-Feb-22,"$1,218 ",135
